0,64,5,tile_special3
128,64,1,tile_11
256,64,6,tile_wall
384,64,0,tile_11
512,64,0,tile_11
640,64,0,tile_11
768,64,0,tile_11
896,64,6,tile_wall
1024,64,1,tile_11
1152,64,5,tile_special3
0,128,6,tile_wall
128,128,1,tile_11
256,128,6,tile_wall
384,128,0,tile_11
512,128,6,tile_wall
640,128,6,tile_wall
768,128,0,tile_11
896,128,6,tile_wall
1024,128,1,tile_11
1152,128,6,tile_wall
0,192,6,tile_wall
128,192,1,tile_11
256,192,2,tile_11
384,192,2,tile_11
512,192,2,tile_11
640,192,2,tile_11
768,192,2,tile_11
896,192,2,tile_11
1024,192,2,tile_11
1152,192,6,tile_wall
0,256,6,tile_wall
128,256,6,tile_wall
256,256,6,tile_wall
384,256,3,tile_special
512,256,0,tile_11
640,256,0,tile_11
768,256,3,tile_special
896,256,6,tile_wall
1024,256,6,tile_wall
1152,256,6,tile_wall
0,320,0,tile_11
128,320,0,tile_11
256,320,0,tile_11
384,320,0,tile_11
512,320,6,tile_wall
640,320,6,tile_wall
768,320,0,tile_11
896,320,0,tile_11
1024,320,0,tile_11
1152,320,0,tile_11
