0,64,6,tile_wall2
128,64,6,tile_wall2
256,64,0,tile_11
384,64,2,tile_11
512,64,1,tile_10
640,64,1,tile_10
768,64,2,tile_11
896,64,0,tile_11
1024,64,6,tile_wall2
1152,64,6,tile_wall2
0,128,6,tile_wall2
128,128,0,tile_11
256,128,0,tile_11
384,128,2,tile_11
512,128,1,tile_10
640,128,1,tile_10
768,128,2,tile_11
896,128,0,tile_11
1024,128,0,tile_11
1152,128,6,tile_wall2
0,192,0,tile_11
128,192,4,tile_special2
256,192,6,tile_wall2
384,192,6,tile_wall2
512,192,3,tile_special
640,192,3,tile_special
768,192,6,tile_wall2
896,192,6,tile_wall2
1024,192,4,tile_special2
1152,192,0,tile_11
0,256,6,tile_wall2
128,256,6,tile_wall2
256,256,6,tile_wall2
384,256,2,tile_11
512,256,1,tile_10
640,256,1,tile_10
768,256,2,tile_11
896,256,6,tile_wall2
1024,256,6,tile_wall2
1152,256,6,tile_wall2
0,320,3,tile_special
128,320,0,tile_10
256,320,0,tile_10
384,320,0,tile_10
512,320,0,tile_10
640,320,0,tile_10
768,320,0,tile_10
896,320,0,tile_10
1024,320,0,tile_10
1152,320,3,tile_special
