0,64,6,tile_wall2
128,64,6,tile_wall2
256,64,6,tile_wall2
384,64,2,tile_11
512,64,2,tile_11
640,64,2,tile_11
768,64,2,tile_11
896,64,6,tile_wall2
1024,64,6,tile_wall2
1152,64,6,tile_wall2
0,128,3,tile_special
128,128,2,tile_09
256,128,6,tile_wall2
384,128,2,tile_11
512,128,6,tile_wall2
640,128,6,tile_wall2
768,128,2,tile_11
896,128,6,tile_wall2
1024,128,2,tile_09
1152,128,3,tile_special
0,192,2,tile_09
128,192,6,tile_wall2
256,192,6,tile_wall2
384,192,2,tile_11
512,192,4,tile_special2
640,192,4,tile_special2
768,192,2,tile_11
896,192,6,tile_wall2
1024,192,6,tile_wall2
1152,192,2,tile_09
0,256,2,tile_09
128,256,6,tile_wall2
256,256,2,tile_11
384,256,2,tile_11
512,256,6,tile_wall2
640,256,6,tile_wall2
768,256,2,tile_11
896,256,2,tile_11
1024,256,6,tile_wall2
1152,256,2,tile_09
0,320,1,tile_09
128,320,6,tile_wall2
256,320,1,tile_11
384,320,1,tile_11
512,320,6,tile_wall2
640,320,6,tile_wall2
768,320,1,tile_11
896,320,1,tile_11
1024,320,6,tile_wall2
1152,320,1,tile_09
